data,dias_desde_inicio,mes,formato,gancho,tipo_de_gancho,estagio_de_consciencia,tema,grupo_de_tema,cluster_de_impressoes,impressoes,reacoes,cliques_exportados,ctr_exportado_pct,reposts,visualizacoes_video,impressoes_exportadas,reacoes_exportadas,palavras_legenda,caracteres_gancho,eh_carrossel,eh_video,gancho_eh_pergunta
1/20/26,0,12/31/25,Imagem,"O CAD aceita tudo. A máquina, não.",Declaração,Consciente do produto,DFM / manufaturabilidade,Protótipo / DFM,Médias impressões,294,6,8,2.8469751000000003,0,,281,6,178,34,0,0,0
1/21/26,1,12/31/25,Carrossel,Medicina personalizada não é mais slide de congresso – é o desafio real batendo na porta do P&D.,Declaração,Consciente do produto,Medicina personalizada,Produto especializado,Médias impressões,242,9,59,26.58,0,,222,9,172,96,1,0,0
1/22/26,2,12/31/25,Imagem,Em 2020/21 a cadeia global tremeu.,Declaração,Consciente da solução,Supply chain / manufatura local,Supply chain,Baixas impressões,201,6,18,9.6256681,0,,187,6,303,34,0,0,0
1/26/26,6,12/31/25,Imagem,A Física por Trás da Validação de Implantes: Por que 3D + CNC?,Pergunta,Consciente da solução,Protótipo até escala / industrialização,Protótipo / DFM,Médias impressões,359,10,11,3.1791907,0,,346,10,283,62,0,0,1
1/27/26,7,12/31/25,Imagem,A transição do protótipo para a produção em escala é um dos momentos mais críticos no desenvolvimento de um dispositivo médico.,Declaração,Mais consciente,Protótipo até escala / industrialização,Protótipo / DFM,Médias impressões,314,7,6,2.0066889,0,,299,7,147,127,0,0,0
2/4/26,15,1/31/26,Carrossel,Você pode ter o melhor design e o material mais nobre.,Declaração,Consciente do problema,Sala limpa / controle de contaminação,Sala limpa,Médias impressões,339,9,80,25.8899689,1,,309,9,143,54,1,0,0
2/10/26,21,1/31/26,Imagem,"No seu P&L, sustentabilidade é custo extra ou vantagem competitiva?",Pergunta,Consciente da solução,Sustentabilidade / eficiência produtiva,Outros,Baixas impressões,121,5,3,3.3707864999999995,0,,89,5,168,67,0,0,1
2/10/26,21,1/31/26,Imagem,"Pureza não é um diferencial, é um requisito regulatório crítico.",Declaração,Mais consciente,Sala limpa / controle de contaminação,Sala limpa,Baixas impressões,221,8,7,3.8043477,0,,184,8,187,64,0,0,0
2/15/26,26,1/31/26,Imagem,"Em dispositivos médicos, “parece certo” não é suficiente.",Declaração,Consciente do produto,Metrologia / validação dimensional,Metrologia / validação,Altas impressões,681,22,5,0.95,2,,525,17,147,57,0,0,0
2/18/26,29,1/31/26,Carrossel,"""Tamanho único"" funciona bem… até deixar de funcionar.",Declaração,Mais consciente,Medicina personalizada,Produto especializado,Baixas impressões,204,7,9,7.14,1,,126,4,176,54,1,0,0
