date,author,post_title,topic_category,icp_primary,post_type,visual_style,text_density_visual,slides_count,impressions,clicks,ctr_pct,reactions,comments,reposts,follows,engagement_rate_pct,slides_bucket,interactions_total,interactions_per_1k_impressions,intent_rate_per_1k,follower_base_assumed,reach_rate,n_reach_rate,n_ctr_pct,n_intent_rate_per_1k,n_follows,performance_score_business
2026-02-26,Rafael Almeida,"Qualidade e o produto (CAPA, inspeção 100%)",Qualidade/Zero Defeito,Qualidade/Regulatorio (OEM),Image,facility_people_overlay,high,4,47,2,4.26,4,0,0,0,12.77,2-4,4,85.11,85.11,146,0.32,6.666666666666667,46.666666666666664,100.0,53.333333333333336,67.67
2026-02-25,Rafael Almeida,Precisao em larga escala para OEMs,Escala & Capacidade,Operacoes/Supply Chain (OEM),Image,facility_cards,high,3,55,5,9.09,2,0,0,0,12.73,2-4,2,36.36,36.36,146,0.38,13.333333333333334,80.0,33.33333333333333,53.333333333333336,48.33
2026-02-24,Rafael Almeida,ANVISA FDA ISO13485 e rastreabilidade,Regulatorio & Compliance,Qualidade/Regulatorio (OEM),Image,compliance_visual,medium,1,71,5,7.04,3,0,0,0,11.27,1,3,42.25,42.25,146,0.49,20.0,60.0,53.333333333333336,53.333333333333336,52.0
2026-02-19,Rafael Almeida,Medicina personalizada para casos complexos,Medicina Personalizada,P&D/Engenharia Clinica (OEM),Image,product_medical_context,medium,1,126,9,7.14,4,0,1,0,11.11,1,5,39.68,63.49,146,0.86,33.33333333333333,66.66666666666666,93.33333333333333,53.333333333333336,73.33
2026-02-16,Rafael Almeida,Metrologia ZEISS CMM mede o que importa,Metrologia & Validacao,Qualidade/Engenharia de Produto (OEM),Image,machine_closeup,low,1,525,5,0.95,17,0,2,0,4.57,1,19,36.19,47.62,146,3.6,86.66666666666667,6.666666666666667,66.66666666666666,53.333333333333336,48.67
2026-02-11,Rafael Almeida,Sustentabilidade no P&L industrial,Eficiencia & Sustentabilidade,Financeiro/Operacoes (OEM),Image,concept_split,high,1,85,3,3.53,5,0,0,0,9.41,1,5,58.82,58.82,146,0.58,26.666666666666668,33.33333333333333,86.66666666666667,53.333333333333336,59.67
2026-02-11,Rafael Almeida,ISO7 vs ISO8 pureza e risco,Sala Limpa & Contaminacao,Qualidade/Regulatorio (OEM),Image,people_lab_comparison,low,1,174,7,4.02,8,0,0,0,8.62,1,8,45.98,45.98,146,1.19,40.0,40.0,60.0,53.333333333333336,51.0
2026-02-05,Rafael Almeida,Sala limpa e controle de contaminacao,Sala Limpa & Contaminacao,Qualidade/Regulatorio (OEM),Image,facility_carousel,high,7,305,80,26.23,9,1,1,0,29.84,5+,11,36.07,52.46,146,2.09,73.33333333333333,93.33333333333333,80.0,53.333333333333336,79.33
2026-01-28,Rafael Almeida,Prototipo para producao em escala sem ruptura,Industrializacao & Ramp-up,P&D + Operacoes (OEM),Image,machine_banner,high,1,291,6,2.06,7,0,0,0,4.47,1,7,24.05,24.05,146,1.99,66.66666666666666,13.333333333333334,13.333333333333334,53.333333333333336,24.67
2026-01-27,Rafael Almeida,Validacao 3D + CNC para implantes,Metrologia & Validacao,P&D/Engenharia de Produto (OEM),Image,machine_render,high,1,341,11,3.23,10,0,0,0,6.16,1,10,29.33,29.33,146,2.34,80.0,26.666666666666668,26.666666666666668,53.333333333333336,36.0
2026-01-23,Rafael Almeida,5 riscos de supply chain em 2026,Supply Chain & Risco,Supply Chain/Diretoria (OEM),Image,facility_headline,high,1,185,18,9.73,6,1,0,0,13.51,1,7,37.84,48.65,146,1.27,46.666666666666664,86.66666666666667,73.33333333333333,53.333333333333336,71.67
2026-01-22,Rafael Almeida,P&D e medicina personalizada (3 perguntas),Medicina Personalizada,P&D/Engenharia Clinica (OEM),Image,concept_carousel,high,5,222,59,26.58,9,0,0,0,30.63,5+,9,40.54,40.54,146,1.52,53.333333333333336,100.0,46.666666666666664,53.333333333333336,64.33
2026-01-21,Rafael Almeida,DFM CAD aceita tudo maquina nao,DFM & Engenharia de Manufatura,P&D/Engenharia de Produto (OEM),Image,machine_product_hybrid,medium,1,278,8,2.88,6,0,0,0,5.04,1,6,21.58,21.58,146,1.9,60.0,20.0,6.666666666666667,53.333333333333336,23.0
2026-01-09,Vanessa Martin,Lancamento do site Lifetrek,Institucional/Marca,Audiencia ampla (TOFU),Image,brand_announcement,low,1,828,66,7.97,13,2,1,0,9.9,1,16,19.32,27.78,146,5.67,100.0,73.33333333333333,20.0,53.333333333333336,49.0
2026-01-09,Vanessa Martin,Vaga operador de usinagem,Talentos/RH,Candidatos/Operadores CNC,Text,text_only,high,0,568,37,6.51,9,0,3,0,8.63,0 (text-only),12,21.13,36.97,146,3.89,93.33333333333333,53.333333333333336,40.0,53.333333333333336,51.33
