date,days_since_start,month,post_format_clean,hook,hook_category,awareness_stage,topic_category,topic_group,impression_cluster,impressions,reactions,clicks_export,ctr_export_pct,reposts_current,video_views_current,impressions_export,reactions_export,caption_word_count,hook_length_chars,is_carousel,is_video,hook_is_question
2026-01-21,0,2026-01,Image,"O CAD aceita tudo. A máquina, não.",Statement,Product-aware,DFM / Manufacturability,Prototype / DFM,Mid impressions,294.0,6.0,8.0,2.8469751000000003,0.0,,281.0,6.0,178,34,0,0,0
2026-01-22,1,2026-01,Carousel,Medicina personalizada não é mais slide de congresso – é o desafio real batendo na porta do P&D.,Statement,Product-aware,Personalized Medicine,Specialized Product,Mid impressions,242.0,9.0,59.0,26.58,0.0,,222.0,9.0,172,96,1,0,0
2026-01-23,2,2026-01,Image,Em 2020/21 a cadeia global tremeu.,Statement,Solution-aware,Supply Chain / Local Manufacturing,Supply Chain,Low impressions,201.0,6.0,18.0,9.6256681,0.0,,187.0,6.0,303,34,0,0,0
2026-01-27,6,2026-01,Image,A Física por Trás da Validação de Implantes: Por que 3D + CNC?,Question,Solution-aware,Prototype-to-Scale / Industrialization,Prototype / DFM,Mid impressions,359.0,10.0,11.0,3.1791907,0.0,,346.0,10.0,283,62,0,0,1
2026-01-28,7,2026-01,Image,A transição do protótipo para a produção em escala é um dos momentos mais críticos no desenvolvimento de um dispositivo médico.,Statement,Most aware,Prototype-to-Scale / Industrialization,Prototype / DFM,Mid impressions,314.0,7.0,6.0,2.0066889,0.0,,299.0,7.0,147,127,0,0,0
2026-02-05,15,2026-02,Carousel,Você pode ter o melhor design e o material mais nobre.,Statement,Problem-aware,Cleanroom / Contamination Control,Cleanroom,Mid impressions,339.0,9.0,80.0,25.8899689,1.0,,309.0,9.0,143,54,1,0,0
2026-02-11,21,2026-02,Image,"No seu P&L, sustentabilidade é custo extra ou vantagem competitiva?",Question,Solution-aware,Sustainability / Manufacturing Efficiency,Other,Low impressions,121.0,5.0,3.0,3.3707864999999995,0.0,,89.0,5.0,168,67,0,0,1
2026-02-11,21,2026-02,Image,"Pureza não é um diferencial, é um requisito regulatório crítico.",Statement,Most aware,Cleanroom / Contamination Control,Cleanroom,Low impressions,221.0,8.0,7.0,3.8043477,0.0,,184.0,8.0,187,64,0,0,0
2026-02-16,26,2026-02,Image,"Em dispositivos médicos, “parece certo” não é suficiente.",Statement,Product-aware,Metrology / Dimensional Validation,Metrology / Validation,High impressions,681.0,22.0,5.0,0.95,2.0,,525.0,17.0,147,57,0,0,0
2026-02-19,29,2026-02,Carousel,"""Tamanho único"" funciona bem… até deixar de funcionar.",Statement,Most aware,Personalized Medicine,Specialized Product,Low impressions,204.0,7.0,9.0,7.14,1.0,,126.0,4.0,176,54,1,0,0
2026-02-24,34,2026-02,Image,"ANVISA, FDA, ISO 13485, dossiês, validação, rastreabilidade.",Statement,Product-aware,DFM / Manufacturability,Prototype / DFM,Low impressions,135.0,4.0,5.0,6.4935066,0.0,,77.0,3.0,115,60,0,0,0
2026-02-25,35,2026-02,Image,"Por trás de todo dispositivo médico que chega com segurança ao paciente, existe uma cadeia silenciosa de fabricação que não pode falhar.",Statement,Problem-aware,Supply Chain / Local Manufacturing,Supply Chain,Low impressions,154.0,6.0,5.0,8.196721199999999,0.0,,61.0,2.0,160,136,0,0,0
2026-02-26,36,2026-02,Image,"Na maioria das fábricas, qualidade é um departamento.",Statement,Problem-aware,Metrology / Dimensional Validation,Metrology / Validation,Low impressions,178.0,5.0,2.0,4.26,0.0,,47.0,4.0,180,53,0,0,0
2026-02-27,37,2026-02,Image,"No papel, importar parece mais barato.",Statement,Most aware,Quality / Zero Defect,Quality,Low impressions,176.0,7.0,,,1.0,,,,129,38,0,0,0
2026-03-04,42,2026-03,Image,"Em dispositivos médicos, o maior desafio não é produzir o primeiro protótipo.",Statement,Problem-aware,Prototype-to-Scale / Industrialization,Prototype / DFM,Low impressions,191.0,7.0,33.0,18.3333337,0.0,,180.0,7.0,134,77,0,0,0
2026-03-05,43,2026-03,Image,"Em dispositivos médicos, cada novo fornecedor adiciona um novo ponto de falha.",Statement,Product-aware,Cleanroom / Contamination Control,Cleanroom,Low impressions,187.0,5.0,15.0,8.522727300000001,0.0,,176.0,5.0,95,78,0,0,0
2026-03-10,48,2026-03,Video,Você já questionou se uma sala limpa ISO 7 no Brasil consegue realmente competir com o padrão das plantas europeias que você visita?,Question,Solution-aware,Cleanroom / Contamination Control,Cleanroom,No current impressions,,11.0,16.0,5.992509399999999,1.0,132.0,267.0,10.0,144,132,0,1,1
2026-03-12,50,2026-03,Image,"Em implantes com geometria complexa, o problema muitas vezes não está no CAD, mas na quantidade de setups até a peça final.",Statement,Problem-aware,Metrology / Dimensional Validation,Metrology / Validation,High impressions,498.0,15.0,18.0,3.8297873,0.0,,470.0,15.0,94,123,0,0,0
2026-03-13,51,2026-03,Image,"Em dispositivos médicos, UDI não é só um código. É o que conecta um evento adverso de volta ao fabricante, ao lote e ao paciente certo.",Statement,Product-aware,Regulatory Traceability / UDI,Other,Mid impressions,268.0,9.0,13.0,5.3941909,0.0,,241.0,9.0,149,135,0,0,0
2026-03-17,55,2026-03,Image,As decisões de sourcing que você toma hoje definirão sua competitividade em 2026.,Statement,Problem-aware,Supply Chain / Local Manufacturing,Supply Chain,Low impressions,152.0,6.0,5.0,4.6728972,0.0,,107.0,6.0,133,81,0,0,0
2026-03-18,56,2026-03,Image,Port-a-cath: Engenharia Nacional Atendendo a uma Demanda Crítica.,Statement,Product-aware,Port-a-cath / Implantable Devices,Specialized Product,Mid impressions,358.0,7.0,11.0,4.7210302,2.0,,233.0,7.0,105,65,0,0,0
2026-03-20,58,2026-03,Image,Onde a engenharia encontra a perfeição. Cada mícron inspecionado é um risco eliminado.,Statement,Product-aware,Supply Chain / Local Manufacturing,Supply Chain,Low impressions,200.0,6.0,1.0,0.9433962,0.0,,106.0,4.0,103,86,0,0,0
2026-03-21,59,2026-03,Image,Port-a-cath: Engenharia Nacional Atendendo a uma Demanda Crítica.,Statement,Product-aware,Port-a-cath / Implantable Devices,Specialized Product,No current impressions,,7.0,,,2.0,,,,105,65,0,0,0
2026-03-24,62,2026-03,Image,"Em um parafuso pedicular, frações de milímetro não são detalhe.",Statement,Product-aware,Metrology / Dimensional Validation,Metrology / Validation,Mid impressions,246.0,10.0,12.0,8.5714288,0.0,,140.0,7.0,129,63,0,0,0
2026-04-02,71,2026-04,Image,"Em dispositivos médicos, o maior gargalo de qualidade nem sempre está na usinagem. Muitas vezes, ele aparece quando a amostra chega e falta evidência dimensional suficiente para sustentar a decisão técnica.",Statement,Product-aware,Metrology / Dimensional Validation,Metrology / Validation,High impressions,598.0,22.0,31.0,5.4290719,0.0,,571.0,19.0,107,206,0,0,0
2026-04-14,83,2026-04,Carousel,Fixação de membranas: pinos ou parafusos?,Question,Solution-aware,Product engineering tradeoff,Other,Low impressions,142.0,8.0,19.0,14.84375,0.0,,128.0,8.0,104,41,1,0,1
2026-04-15,84,2026-04,Image,Retrabalho nem sempre aparece como desvio aberto. Muitas vezes ele nasce na validacao dimensional mal amarrada ao processo.,Statement,Solution-aware,Dimensional validation / metrology,Metrology / Validation,Low impressions,201.0,6.0,12.0,6.5217391,0.0,,184.0,6.0,115,123,0,0,0
2026-04-17,86,2026-04,Image,"Na manufatura de dispositivos médicos, precisão não é evento de inspeção final.",Statement,Problem-aware,Dimensional validation / metrology,Metrology / Validation,Low impressions,232.0,6.0,13.0,6.0465116,0.0,,215.0,6.0,118,79,0,0,0
2026-04-20,89,2026-04,Image,"Na manufatura médica, capacidade produtiva não é só ter máquinas.",Statement,Problem-aware,Capacity / predictable manufacturing,Operations / Capacity,High impressions,874.0,35.0,91.0,11.43,0.0,,796.0,33.0,82,65,0,0,0
2026-04-24,93,2026-04,Carousel,"Em kits cirúrgicos OEM, cada novo fornecedor é mais um ponto de falha:",Statement,Product-aware,Integrated OEM kits / supplier-risk reduction,Operations / Capacity,Low impressions,85.0,7.0,9.0,20.45,0.0,,44.0,5.0,129,70,1,0,0
